country birthday_year
Tokelau 1978
Kenya 1958
Grenada 1984
Sudan 1985
United Arab Emirates 1958
Saint Helena, Ascension and Tristan da Cunha 1972
Peru 1988
United States 1959
Equatorial Guinea 1991
Zambia 1999
Egypt 1988
Malaysia 1961
Mozambique 1971
Mauritania 1981
Finland 1953
Martinique 1991
Andorra 1964
Egypt 1975
Sao Tome and Principe 1950
Brazil 1990
Sao Tome and Principe 1983
Myanmar 1974
Mongolia 1990
Georgia 1953
Eritrea 1959
Saint Pierre and Miquelon 1956
Virgin Islands, British 1965
Micronesia 1984
Libya 1988
South Georgia and The South Sandwich Islands 1982
Guinea-Bissau 1955
Cyprus 1962
Puerto Rico 1972
Zimbabwe 1990
Macedonia 1951
Puerto Rico 1963
New Caledonia 2000
Viet Nam 1968
Saint Lucia 1976
Pitcairn Islands 1950
Macedonia 1977
Paraguay 1955
Afghanistan 2000
Finland 1963
Kazakhstan 2000
Hong Kong 1988
Curaçao 1997
El Salvador 1979
Congo (Brazzaville) 1985
Guadeloupe 1976
Fiji 1974
Greenland 1990
Japan 1950
Falkland Islands 1961
Albania 1979
Bouvet Island 1973
Panama 1983
Armenia 1973
Pakistan 1997
Georgia 1969
Bhutan 1980
Virgin Islands, British 1951
Turks and Caicos Islands 1992
Cook Islands 1959
Saint Kitts and Nevis 1991
French Polynesia 2000
Norway 1988
Heard Island and Mcdonald Islands 1998
Isle of Man 1969
United Kingdom 1950
Mozambique 1978
Virgin Islands, United States 1957
Guam 1974
Mozambique 1979
Bhutan 1959
Bangladesh 1969
Trinidad and Tobago 1964
New Caledonia 1950
Australia 1986
Western Sahara 1974
Wallis and Futuna 1983
Brunei 1982
Mozambique 1992
Nicaragua 1967
Albania 1962
Peru 1988
Guinea 1985
Curaçao 1960
Botswana 1998
Romania 1968
Guyana 1970
Cuba 1996
Ghana 1969
Kyrgyzstan 1969
Antigua and Barbuda 1962
Maldives 1968
Armenia 1984
Mauritius 1965
Kazakhstan 1994
Bolivia 1967
 
 
 
 
 
